director,peso_diretor
Daniil Khrabrovitsky,7.6
Danilo Serbedzija,7.0
Danis Tanovic,7.1
Dani�le Thompson,6.1
Danny Bilson,5.7
Danny Boyle,7.3
Danny Cannon,5.8
Danny Clinch,8.9
Danny DeVito,6.4
Danny Deprez,5.5
Danny Draven,3.6
Danny Horan,7.3
Danny Huston,6.0
Danny Leiner,6.1
Danny Lerner,4.5
Danny Mooney,5.7
Danny O'Connor,7.1
Danny Pang,
Danny Perez,7.3
Danny Roth,5.3
Danny Steinmann,5.4
Dante Ariola,5.6
Dante Lam,6.4
Dany Boon,6.4
Danyael Sugawara,6.8
Daphna Kastner,4.6
Daphne Pinkerson,8.1
Darcy Dennett,
Darezhan Omirbayev,7.1
Daric Loo,6.3
Darin Beckstead,5.7
Darin Ferriola,5.7
Darin Scott,4.7
Dario Argento,6.2
Dario Piana,5.4
Dariush Mehrjui,8.0
Dariusz Gajewski,5.6
Dariusz Jablonski,7.0
Darko Lungulov,6.4
Darko Mitrevski,7.9
Darnell Martin,6.8
Darragh Byrne,6.9
Darrell Roodt,5.9
Darren Aronofsky,7.5
Darren Ashton,6.3
Darren Doane,4.5
Darren Grant,5.5
Darren Lynn Bousman,5.9
Darren Paul Fisher,6.4
Darren Stein,5.7
Darren Thornton,
Darryl Fong,5.5
Darryl Roberts,6.7
Daryl Duke,7.0
Daryl Goldberg,3.9
Daryl Wein,6.1
Daryn Tufts,5.8
Dasaradh,7.0
Dav Kaufman,4.0
Dave Borthwick,7.4
Dave Boyle,6.7
Dave Bullock,7.1
Dave Eddy,1.5
Dave Edwards,7.2
Dave Filoni,5.8
Dave Fleischer,6.9
Dave Foley,7.0
Dave Green,5.8
Dave Grohl,7.8
Dave Jackson,
Dave Kim,4.7
Dave McKean,7.0
Dave McLaughlin,6.7
Dave Meyers,4.9
Dave Ohlson,7.5
Dave Parker,4.7
Dave Payne,4.6
Dave Rodriguez,6.0
Dave Schram,6.4
Dave Schultz,7.2
Dave Thomas,5.1
Dave Unwin,7.6
David A. Armstrong,5.7
David A. Cross,4.2
David A. Prior,4.5
David A.R. White,7.1
David Allen,5.4
David Anderson,
David Anspaugh,6.3
David Arquette,5.1
David Atkins,5.8
David Attwood,7.7
David Au,6.2
David Auburn,6.5
David Ayer,7.0
David Bailey,5.0
David Barker,5.3
David Barnard,9.0
David Barrett,5.7
David Beaird,5.7
David Benullo,4.4
David Betances,3.5
David Bezmozgis,6.5
David Blair,7.2
David Block,6.5
David Blyth,3.3
David Bond,6.9
David Bowers,6.5
David Boyd,6.0
David Bradley,4.5
David Briggs,7.3
David Brooks,4.6
David Brundige,7.8
David Burris,5.3
David Burton,5.4
David Burton Morris,5.0
David Butler,6.6
David Byrne,7.0
David C. Thomas,7.9
David Caesar,6.0
David Caffrey,6.4
David Cage,8.4
David Campbell,6.0
David Carreras,5.4
David Carson,5.6
David Charhon,5.7
David Chase,6.0
David Chen,7.2
David Cherkasskiy,8.4
David Chirchirillo,2.8
David Cholewa,3.8
David Christiaan,5.1
David Chung,6.5
David Conley,
David Cronenberg,6.7
David Cross,5.8
David C�novas,
David Darg,
David DeBartolom�,4.2
David DeCoteau,3.7
David DeFalco,3.6
David Delrieux,7.2
David Denneen,6.2
David Devine,4.0
David Dhawan,5.5
David Dietl,5.9
David Dobkin,6.5
David Douglas,6.7
David Drury,5.7
David Duchovny,7.0
David Dunn Jr.,2.5
David E. Durston,5.9
David E. Talbert,4.6
David Earnhardt,7.7
David Engelbach,4.3
David Evans,6.7
David F. Sandberg,7.6
David Farr,
David Fincher,7.8
David Fisher,5.4
David Flores,3.7
David France,7.5
David Frankel,6.4
David G. Hillier,8.3
David Gebroe,4.8
David Gelb,6.6
David Giancola,3.3
David Gidali,4.1
David Giles,7.8
David Gladwell,6.9
David Gleeson,6.8
David Gordon Green,6.7
David Green,5.0
David Greene,6.8
David Greenwalt,6.5
David Gregory,6.9
David Grieco,6.2
David Grossman,5.0
David Grovic,5.3
David Grubin,7.6
David Gumpel,5.3
David Guy Levy,5.8
David H. Brooks,5.1
David Hackl,5.5
David Hamilton,5.4
David Hand,7.3
David Hare,6.7
David Hartman,
David Hayter,5.2
David Heeley,7.5
David Helpern,7.3
David Hemmings,5.9
David Hewlett,5.7
David Hicks,4.6
David Hickson,7.2
David Higby,6.6
David Hinton,7.9
David Hogan,4.0
David Hollander,6.3
David Hugh Jones,6.9
David Hunt,
David Irving,4.8
David J. Burke,5.3
David Jackson,5.5
David Jacobson,5.3
David Jung,5.7
David K. Kyle,6.4
David Kane,6.4
David Kaplan,6.9
David Keating,5.7
David Keith,4.9
David Kellogg,3.4
David Kendall,5.9
David Kennard,6.8
David Kittredge,4.7
David Kleijwegt,7.0
David Koepp,6.3
David L. Corley,6.1
David L. Cunningham,5.1
David LaChapelle,7.1
David Lambert,6.6
David Lammers,6.8
David Lane,6.4
David Langlitz,6.4
David Leaf,7.9
David Lean,7.7
David Lebrun,7.5
David Lee Madison,2.2
David Lee Miller,7.2
David Leland,7.0
David Leveaux,
David Lewis,4.9
David Lickley,7.6
David Lister,4.3
David Lowell Rich,5.2
David Lowery,5.9
David Lynch,7.0
David M. Evans,5.0
David M. Rosenthal,6.1
David MacDonald,5.6
David Mackay,5.6
David Mackenzie,6.7
David Mallet,7.4
David Mamet,6.9
David Maquiling,6.5
David Marconi,5.7
David Markey,7.5
David Marqu�s,4.8
David McNally,5.0
David Menkes,6.1
David Michael Latt,3.2
David Mich�d,6.9
David Miller,6.6
David Mirkin,6.2
David Mitchell,3.5
David Moore,7.0
David Moreau,6.4
David Moreton,6.8
David Morlet,5.2
David Mortin,6.2
David Mueller,5.0
David Munro,8.3
David Murphy,2.8
David Naglieri,
David Naylor,7.5
David Nelson,4.3
David Noel Bourke,3.4
David Nutter,5.5
David O'Malley,4.4
David O. Russell,6.8
David Oelhoffen,7.3
David Ogden,5.7
David Oliver,3.6
David Oliveras,6.5
David Ondaatje,5.8
David Ondr�cek,7.4
David Paul Meyer,7.5
David Paulsen,4.8
David Petrarca,5.3
David Pinillos,6.1
David Presley,3.5
David Price,4.2
David Prior,7.3
David R. Brooks,5.0
David R. Ellis,5.4
David Ray,6.8
David Raynr,5.0
David Ren,4.9
David Riker,6.9
David Robert Mitchell,6.6
David Rocksavage,6.2
David Ross,5.8
David Rountree,6.4
David Russo,6.2
David Ryan Keith,3.8
David R�hm,7.1
David S. Cass Sr.,6.5
David S. Goyer,5.8
David S. Ward,6.1
David Salle,5.2
David Sampliner,6.5
David Sandberg,8.3
David Saperstein,5.2
David Schmoeller,5.3
David Schultz,6.5
David Schwimmer,6.4
David Seltzer,6.4
David Sereda,5.9
David Serrano,6.2
David Sieveking,7.3
David Silverman,7.4
David Sington,7.7
David Slade,6.2
David Smith,4.5
David Snedeker,5.7
David Soldinger,7.8
David Soren,6.6
David Spaltro,
David Steiman,5.4
David Steinberg,6.0
David Steinmetz,6.0
David Stenn,6.5
David Stevens,5.4
David Storey,6.7
David Straiton,4.3
David Swift,6.8
David Thacker,7.9
David Thompson,6.7
David Thorpe,3.8
David Trueba,6.5
David Turnley,6.8
David Twohy,6.6
David Van Taylor,7.3
David Veloz,6.3
David Victori,
David Von Ancken,6.7
David VonAllmen,4.7
David Vyle Levy,6.2
David Wachs,7.6
David Wain,6.0
David Weaver,5.9
David Webb Peoples,6.5
David Wechter,4.6
David Wellington,4.5
David Wickes,6.5
David Winkler,4.9
David Winning,3.6
David Winters,6.3
David Winton,7.5
David Wnendt,6.3
David Worth,3.3
David Wu,6.4
David Yarovesky,7.9
David Yates,7.4
David Zellner,6.9
David Zucker,5.9
David de Vos,4.3
David de Vries,7.4
Davide Ferrario,6.3
Davide Manuli,6.7
Davide Marengo,5.6
Davis Doi,5.3
Davis Guggenheim,7.0
Dawn Porter,7.7
Dayyan Eng,5.4
Deagol Brothers,4.9
Dean Alioto,6.1
Dean Bennett,7.3
Dean Cundey,4.8
Dean DeBlois,8.3
Dean Francis,3.8
Dean Hamilton,2.9
Dean Hargrove,6.8
Dean Hewison,6.0
Dean Israelite,6.4
Dean Matthew Ronalds,5.5
Dean Murphy,6.5
Dean O'Flaherty,5.4
Dean Parisot,5.9
Dean Puckett,7.5
Dean Semler,4.4
Dean Tschetter,4.7
Dean Wellins,7.5
Dean Wright,6.6
Deann Borshay,7.4
Dearbhla Walsh,7.1
Deb Hagan,4.6
Deb Shoval,
Debbie Isitt,5.3
Debbie Lum,7.4
Debbie Tucker Green,5.2
Deborah Anderson,5.3
Deborah Brock,4.2
Deborah Chow,6.4
Deborah Kampmeier,6.3
Deborah Koons,8.7
Deborah Perkin,7.8
Deborah Scranton,7.3
Deborah Stratman,7.8
Deborah Warner,6.1
Debra Granik,6.9
Debs Paterson,6.5
Declan Lowney,6.8
Declan O'Brien,4.1
Dee McLachlan,5.2
Dee Rees,7.0
Deepa Mehta,6.9
Deepak S. Shivdasani,4.5
Deepak Sareen,3.6
Deepak Tijori,3.1
Deepan Chakravarthy,6.6
Dein Perry,6.2
Dejan Zecevic,7.0
Del Shores,7.3
Del Tenney,3.0
Delbert Mann,6.9
Delmer Daves,6.9
Delphine Gleize,6.3
Delphine de Vigan,4.7
Demetri Martin,
Demetrius Navarro,2.5
Demian Lichtenstein,5.1
Demofilo Fidani,4.6
Denis Chouinard,7.1
Denis C�t�,6.4
Denis Delestrac,7.0
Denis Dercourt,6.7
Denis Hennelly,5.5
Denis H�roux,5.6
Denis Langlois,6.4
Denis Neimand,5.3
Denis Rabaglia,6.7
Denis Sanders,6.6
Denis Theriault,8.4
Denis Thybaud,4.1
Denis Villeneuve,7.5
Denise Di Novi,
Denison Clift,5.6
Deniz Gamze Erg�ven,7.6
Dennie Gordon,5.5
Dennis Berry,4.5
Dennis Bots,7.1
Dennis Devine,1.9
Dennis Dimster,5.1
Dennis Donnelly,5.2
Dennis Dugan,5.8
Dennis Feldman,6.2
Dennis Gansel,6.5
Dennis Hauck,7.5
Dennis Hopper,6.3
Dennis Iliadis,6.1
Dennis Law,6.0
Dennis Lee,6.5
Dennis Todorovic,6.9
Dennis Wise,7.9
Dennis Yu,6.4
Denny Harris,6.0
Denny Tedesco,7.7
Denys Arcand,6.8
Denys de La Patelli�re,7.0
Denzel Washington,7.4
Deok Noh,6.3
Deon Taylor,4.8
Deran Sarafian,4.7
Dereck Joubert,8.4
Derek Burbidge,7.9
Derek Cianfrance,7.4
Derek Cole,4.4
Derek Franson,4.9
Derek Jarman,6.7
Derek Mungor,6.5
Derek Savage,8.3
Derek Sieg,6.0
Derick Martini,5.8
Dermot Mulroney,5.0
Derrick Borte,6.5
Dervis Zaim,7.9
Derwin Abrahams,6.4
Des Doyle,6.8
Des McAnuff,6.2
Desconhecido,7.5
Desiree Akhavan,6.9
Desmond Davis,6.8
Desmond Nakano,6.0
Destin Cretton,
Destin Daniel Cretton,7.4
Destiny Ekaragha,5.3
Detlef Bothe,5.4
Detlev Buck,6.3
Dev Benegal,7.0
Devin Dehaven,
Devon Avery,8.2
Devon Gummersall,7.5
Devyn Waitt,6.3
Dewey Nicks,5.3
Dexter Fletcher,6.9
Dharmesh Darshan,5.4
Dhavala Satyam,6.0
Dheeraj Akolkar,7.4
Dhimiter Anagnosti,7.8
Diablo Cody,4.9
Diana Whitten,7.3
Diane Bell,5.9
Diane Bertrand,6.2
Diane Crespo,6.7
Diane English,4.9
Diane Keaton,5.7
Diane Kurys,6.4
Diarmuid Lawrence,6.6
Diast�me,6.1
Dibakar Banerjee,7.7
Dick Bartlett,7.7
Dick Carruthers,8.9
Dick Clement,5.9
Dick Lowry,5.8
Dick Maas,5.7
Dick Powell,6.0
Dick Proenneke,7.4
Dick Randall,3.2
Dick Richards,6.2
Dick Rickard,7.2
Dick Sebast,3.4
Dictynna Hood,6.1
Didi Danquart,5.9
Didier Bivel,6.1
Didier Bourdon,5.0
Didier Grousset,5.6
Didier Le P�cheur,5.4
Didier Tronchet,5.3
Diederick Koopal,7.5
Diederik Ebbinge,6.9
Diederik Van Rooijen,7.0
Diego Araujo,5.7
Diego Kaplan,6.3
Diego Lerman,6.5
Diego Luna,5.6
Diego Quemada-D�ez,7.7
Diego Rafecas,6.9
Diemo Kemmesies,6.0
Dietrich Br�ggemann,6.7
Dietrich Johnston,3.0
Dieudonn�,5.1
Digna Sinke,6.3
Dileesh Pothan,
Dilip Ghosh,5.9
Dilip Mehta,6.1
Dimitar Mitovski,7.5
Dimitri Buchowetzki,6.9
Dimitri Karakatsanis,6.7
Dimitri Kirsanoff,8.2
Dimitri Logothetis,4.9
Dimitris Athanitis,
Dimitris Papaioannou,7.6
Dimitris Tzetzas,
Dina Shturmanova,5.4
Dino Risi,6.7
Dinos Dimopoulos,7.0
Dinos Katsouridis,8.2
Dinu Cocea,7.3
Dirk Beli�n,5.3
Dirk Campbell,5.6
Dirk Hagen,4.2
Dirk Shafer,6.0
Dirk Simon,7.4
Dirk de Villiers,5.9
Dito Montiel,6.0
Dito Tsintsadze,6.7
Djamel Bensalah,4.6
Djibril Diop Mamb�ty,7.3
Djinn,5.5
Djo Munga,6.2
Dmitriy Astrakhan,6.6
Dmitriy Dyachenko,6.9
Dmitriy Grachev,4.2
Dmitriy Meskhiev,5.6
Do-yun Lee,6.5
Dollan Cannell,7.1
Dolph Lundgren,5.3
Dom DeLuise,6.4
Dom Rotheroe,7.3
Dome Karukoski,6.8
Domenico Paolella,5.5
Domenico Saverni,4.5
Dominga Sotomayor Castillo,6.3
Dominic Brigstocke,8.0
Dominic Burns,4.2
Dominic Dromgoole,6.6
Dominic Haxton,7.1
Dominic James,4.9
Dominic Murphy,7.0
Dominic Perez,4.2
Dominic Savage,6.9
Dominic Sena,6.0
Dominik Graf,6.9
Dominik Hartel,
Dominik Moll,6.6
Dominique Adams,6.1
Dominique Benicheti,6.9
Dominique Deruddere,6.5
Dominique Farrugia,5.4
Dominique Monfery,7.9
Dominique Othenin-Girard,5.1
Don Allan,5.2
Don Argott,7.4
Don Askarian,6.6
Don Barnhart,5.9
Don Bluth,7.3
Don Boyd,6.1
Don Chaffey,6.4
Don Cheadle,
Don Coscarelli,6.4
Don Dohler,3.6
Don E. FauntLeRoy,3.8
Don Edmonds,5.4
Don Hahn,7.7
Don Handfield,6.5
Don Hardy Jr.,7.2
Don Hartman,6.8
Don Henderson,2.1
Don Hertzfeldt,8.2
Don Hulette,3.8
Don Jones,4.4
Don Jurwich,7.1
Don Letts,6.9
Don Levy,6.4
Don Mancini,5.3
Don McBrearty,6.6
Don McGuire,6.4
Don McKellar,7.2
Don Medford,6.1
Don Michael Paul,4.4
Don Mischer,7.9
Don Roos,6.3
Don Roy King,7.3
Don Scardino,5.9
Don Schain,4.5
Don Sharp,6.1
Don Siegel,6.7
Don Sikorski,6.1
Don Taylor,6.6
Don Thacker,6.5
Don Weis,5.8
Donal Lardner Ward,4.3
Donal MacIntyre,6.2
Donald Cammell,6.4
Donald Crisp,7.1
Donald Crombie,5.7
Donald Driver,5.9
Donald G. Jackson,5.2
Donald L. Gold,4.1
Donald P. Borchers,4.2
Donald Petrie,5.8
Donald Rice,5.6
Donald Shebib,6.9
Donald Wrye,6.4
Donato Rotunno,4.4
Donato Ursitti,5.6
Dong-Suk Kuk,6.5
Dong-hoon Baek,6.3
Dong-hoon Choi,7.1
Dong-hyuk Hwang,7.6
Dong-oh Jo,6.3
Dong-won Kim,6.7
Dong-yeob Shin,6.0
Donna Davies,7.3
Donna Deitch,5.7
Donovan Cook,6.4
Donovan Marsh,6.1
Dony Permedi,8.3
Dore Schary,6.0
Dori Berinstein,7.4
Dorian Supin,7.5
Dorian Walker,6.0
Doris D�rrie,6.7
Doris Wishman,4.2
Doron Eran,5.5
Dorota Kedzierzawska,7.4
Dorothy Ann Puzo,4.4
Dorothy Arzner,6.5
Doroth�e Van Den Berghe,6.5
Doru Nastase,7.8
Doug Aitken,6.2
Doug Archibald,
Doug Atchison,7.5
Doug Block,6.9
Doug Campbell,5.4
Doug Ellin,5.6
Doug Hamilton,7.6
Doug Lefler,5.4
Doug Liman,6.9
Doug Lodato,4.5
Doug McHenry,6.1
Doug Pray,7.2
Doug Sweetland,8.5
Doug Walker,7.2
Douglas A. Raine,3.5
Douglas Aarniokoski,4.6
Douglas Barr,6.3
Douglas Buck,3.9
Douglas Camfield,6.9
Douglas Cheek,5.5
Douglas Curtis,4.6
Douglas Day Stewart,5.6
Douglas Heyes,4.6
Douglas Hickox,6.5
Douglas Horn,4.6
Douglas Jackson,4.9
Douglas Keeve,6.4
Douglas Mackinnon,7.1
Douglas McCarthy,6.4
Douglas McGrath,6.6
Douglas McKeown,6.3
Douglas Rath,5.7
Douglas Reese,
Douglas Schulze,5.1
Douglas Schwartz,4.9
Douglas Sirk,7.0
Douglas Tirola,6.6
Douglas Trumbull,6.6
Douglas Wilson,7.6
Dov Kelemer,8.4
Dover Koshashvili,6.7
Doze Niu,6.9
Dragan Bjelogrlic,8.4
Drake Doremus,6.3
Drew Barrymore,6.9
Drew Daywalt,7.0
Drew Goddard,7.0
Drew Hall,3.8
Drew Heriot,5.6
Drew Maxwell,2.1
Drew Pearce,7.5
Drew Tobia,7.4
Dror Moreh,7.6
Dror Shaul,7.2
Dror Soref,4.8
Dror Zahavi,7.1
Dru Brown,6.2
Duane Adler,5.7
Duane Crichton,5.9
Duane Hopkins,5.4
Duane Journey,4.3
Duane Stinnett,3.5
Duccio Tessari,6.3
Dudi Appleton,5.2
Dudley Nichols,6.4
Duilio Coletti,6.4
Duke Mitchell,6.3
Dumitru Budrala,6.8
Duncan Bridgeman,6.8
Duncan Gibbins,5.7
Duncan Jones,7.8
Duncan MacNeillie,4.4
Duncan Roy,6.3
Duncan Skiles,7.2
Duncan Tucker,7.5
Duncan Ward,5.2
Dunya Smirnova,6.9
Dusan Han�k,7.9
Dusan Kovacevic,8.3
Dusan Makavejev,6.8
Dusan Milic,6.4
Dusan Vukotic,7.3
Dustin Hoffman,6.8
Dustin Lance Black,5.4
Dustin Marcellino,5.0
Dustin Mckenzie,6.5
Dustin Rikert,4.4
Dusty Bias,5.6
Duwayne Dunham,6.4
Dwain Esper,3.7
Dwayne Carey-Hill,7.5
Dwight H. Little,5.4
Dwight Yoakam,4.1
Dylan Avery,7.2
Dylan Baker,6.1
Dylan Bank,4.4
Dylan C. Brown,4.5
Dylan Kidd,6.7
Dylan Mohan Gray,7.8
Dzhanik Fayziev,6.4
Dziga Vertov,6.9
E. Elias Merhige,6.3
E. Hardon,6.8
E. Mason Hopper,6.0
E. Max Frye,5.5
E.L. Katz,6.8
E.R. Nelson,6.2
E.W. Swackhamer,5.5
Eadweard Muybridge,7.3
Eagle Pennell,7.0
Earl Bellamy,5.7
Earl Duvall,5.3
Earnest Harris,5.0
Eben McGarr,4.7
Ebrahim Forouzesh,7.3
Ebrahim Hatamikia,8.1
Ebrahim Sheibani,5.4
Ech� Janga,6.5
Eckhart Schmidt,6.3
Ed Bianchi,5.8
Ed Blum,6.1
Ed Bye,5.3
Ed Decter,5.8
Ed Gass-Donnelly,5.0
Ed Hansen,4.4
Ed Harris,6.9
Ed Herzog,6.1
Ed Hunt,5.0
Ed Radtke,6.9
Ed Ragozzino,5.3
Ed Solomon,6.5
Ed Stone,7.1
Eddie Alcazar,7.6
Eddie Lebron,3.9
Eddie Martin,8.0
Eddie Mullins,7.4
Eddie Murphy,5.9
Eddie Nicart,5.9
Eddie O'Flaherty,4.8
Eddie O'Keefe,
Eddie Romero,3.8
Eddy Matalon,4.8
Eddy Terstall,7.2
Edet Belzberg,7.4
Edgar Barens,7.9
Edgar G. Ulmer,5.8
Edgar Hagen,6.5
Edgar Kennedy,6.8
Edgar Navarro,6.3
Edgar Neville,6.8
Edgar Reitz,7.9
Edgar Selwyn,7.0
Edgar Wright,7.4
Edgardo Cozarinsky,6.3
Edison C�jas,6.4
Edith Carlmar,6.9
Edmon Roch,7.3
Edmond Keosayan,7.0
Edmond T. Gr�ville,6.2
Edmund Goulding,7.4
Edmund Purdom,3.9
Edo Bertoglio,7.2
Edo Tagliavini,3.8
Edoardo De Angelis,6.4
Edoardo Gabbriellini,6.1
Edoardo Leo,6.6
Edoardo Maria Falcone,6.9
Edoardo Ponti,6.0
Edouard Deluc,6.2
Edouard Niermans,7.3
Eduard Cort�s,5.3
Eduard Galic,8.4
Eduard Grecner,7.0
Eduard Nazarov,8.0
Eduard Radzyukevich,4.0
Eduardo Chapero-Jackson,4.7
Eduardo Coutinho,8.2
Eduardo De Filippo,6.8
Eduardo Mignogna,7.0
Eduardo Milewicz,6.0
Eduardo Nunes,7.3
Eduardo Rodriguez,4.9
Eduardo Schuldt,4.0
Eduardo S�nchez,5.2
Eduardo Villanueva,4.8
Edvin Laine,7.3
Edvins Snore,8.1
Edward A. Blatt,7.3
Edward A. Burger,8.1
Edward Anderson,5.7
Edward Berger,6.9
Edward Bernds,6.2
Edward Boase,4.2
Edward Burns,6.2
Edward Buzzell,6.7
Edward D. Murphy,5.6
Edward D. Wood Jr.,3.6
Edward Dein,4.2
Edward Dmytryk,6.7
Edward Evers-Swindell,
Edward F. Cline,6.7
Edward Finney,3.1
Edward Fu,3.9
Edward H. Griffith,6.6
Edward Hall,7.2
Edward Holzman,4.7
Edward James Olmos,7.1
Edward L. Cahn,4.9
Edward Ludwig,6.1
Edward McGown,
Edward Montagne,5.9
Edward Neumeier,4.4
Edward Norton,6.4
Edward S. Curtis,5.8
Edward Sedgwick,6.4
Edward Yang,7.9
Edward Zwick,7.2
Edwin,6.0
Edwin L. Marin,6.3
Edwin S. Porter,6.1
Edwin Sherin,6.8
Edzard Onneken,6.9
Eeshwar Nivas,6.6
Efrem Pruzhanskiy,7.9
Efren C. Pi�on,4.7
Egidio Coccimiglio,4.4
Egor Baranov,5.6
Egor Konchalovskiy,5.5
Ei Aoki,7.2
Eiichi Kud�,7.6
Eiichi Yamamoto,7.2
Eiichir� Hasumi,6.7
Eija-Liisa Ahtila,5.7
Eiji Okuda,7.2
Eiji Uchida,5.6
Eijir� Wakabayashi,2.1
Eino Ruutsalo,5.1
Eirik Svensson,5.7
Eitan Arrusi,4.0
Eitan Gorlin,6.6
Eitan Reuven,
Ekachai Uekrongtham,6.1
Ektoras Lygizos,6.5
Ela Thier,6.8
Elaine Constantine,6.4
Elaine Madsen,6.5
Elaine May,6.5
Elan Gale,6.1
Eldar Rapaport,6.0
Eldar Ryazanov,7.4
Eldar Salavatov,6.3
Eldar Shengelaia,8.7
Eleanor Bergstein,5.6
Eleanor Coppola,
Eleanor Lindo,6.3
Elem Klimov,7.5
Elena Hazanov,
Eleonore Pourriat,7.0
Elfi Mikesch,5.9
Elgin James,6.2
Eli Cohen,7.2
Eli Craig,7.6
Eli Kabillio,6.7
Eli Morgan Gesner,
Eli Roth,5.8
Elia Kazan,7.5
Elia Petridis,6.1
Elia Suleiman,6.9
Eliaichi Kimaro,8.2
Elias Koskimies,3.8
Elie Wajeman,5.8
Elijah Drenner,7.1
Elijah Dylan Costa,
Elina Kivihalme,6.0
Elina Psikou,5.6
Elio Petri,7.3
Elio Quiroga,6.0
Elisabeta Bostan,7.9
Elisabeth Kapnist,7.0
Elise Robertson,4.5
Eliseo Subiela,7.0
Elissa Down,7.3
Elite Zexer,
Eliza Hittman,5.5
Elizabeth Allen Rosenbaum,5.8
Elizabeth Banks,6.6
Elizabeth Blozan,7.5
Elizabeth Canner,6.1
Elizabeth Gill,6.4
Elizabeth Harrison,5.7
Elizabeth Wood,
Ella Lemhagen,6.2
Elle Flanders,6.6
Ellen Goosenberg Kent,7.4
Ellen Perry,7.0
Ellie Kanner,4.9
Elliot Goldner,5.7
Elliot Greenebaum,6.7
Elliot Hegarty,6.1
Elliot Silverstein,6.3
Elliott Hong,5.5
Elliott Lester,6.4
Elliott Nugent,6.7
Ellory Elkayem,4.2
Elmar Fischer,5.3
Elmer Clifton,4.6
Elmo N�ganen,7.5
Elodie Namer,6.1
Eloy de la Iglesia,6.2
Elvis Restaino,2.8
Ema Ryan Yamazaki,5.8
Emanuel Hoss-Desmarais,5.8
Emanuele Crialese,6.9
Emidio Greco,7.3
Emiko Hiramatsu,6.6
Emiko Omori,6.6
Emil Chiaberi,6.7
Emil Loteanu,7.6
Emil Weiss,8.2
Emile Ardolino,6.3
Emile Edwin Smith,3.0
Emile de Antonio,7.5
Emiliano Rocha Minter,
Emilio Arag�n,6.4
Emilio Estevez,6.4
Emilio Fern�ndez,7.6
Emilio Maill�,6.4
Emilio Mart�nez L�zaro,6.1
Emilio Miraglia,6.3
Emilio Portes,6.3
Emilis Velyvis,7.5
Emily Abt,5.1
Emily Atef,6.9
Emily Hagins,5.2
Emily Lou,6.1
Emily Ting,7.1
Emily Young,6.5
Emin Alper,7.2
Emir Kusturica,7.5
Emma Cooper,7.4
Emma Franz,8.6
Emma-Kate Croghan,6.1
Emmanuel Carr�re,6.6
Emmanuel Finkiel,
Emmanuel Goldstein,7.6
Emmanuel Gras,6.8
Emmanuel Itier,1.9
Emmanuel Kervyn,4.9
Emmanuel Laurent,6.7
Emmanuel Mouret,6.2
Emmanuelle Bercot,6.4
Emmett Alston,3.1
Emmett Callinan,3.8
Emmett Malloy,7.8
Enda McCallion,
Enid Zentelis,5.4
Enki Bilal,6.3
Ennio De Concini,6.8
Enrico Casarosa,8.0
Enrico Clerico Nasino,4.9
Enrico Lando,3.7
Enrico Maria Artale,5.8
Enrico Oldoini,4.9
Enrique Begne,
Enrique Buchichio,6.6
Enrique Gato,6.1
Enrique Urbizu,6.4
Enza Negroni,5.7
Enzo Barboni,6.5
Enzo D'Al�,6.6
Enzo Di Gianni,3.0
Enzo G. Castellari,6.0
Enzo Monteleone,6.3
Eon-hie Lee,6.7
Ephraim Kishon,7.5
Er Cheng,6.8
Eran Creevy,6.3
Eran Kolirin,7.6
Eran Riklis,7.1
Ere Kokkonen,5.5
Ergin Orbey,7.6
Erhan Kozan,6.7
Eric Amadio,5.6
Eric Armstrong,7.6
Eric Bana,7.5
Eric Barbier,6.2
Eric Bernt,4.7
Eric Bilitch,
Eric Blakeney,5.7
Eric Brevig,5.4
Eric Bricker,7.4
Eric Bross,5.5
Eric Byler,6.0
Eric Civanyan,5.6
Eric Cochran,7.3
Eric D. Howell,
Eric De Kuyper,5.9
Eric Eason,6.4
Eric England,4.7
Eric Etebari,4.2
Eric Forsberg,2.7
Eric Freiser,3.9
Eric Green,6.5
Eric Guirado,7.1
Eric Hannah,5.8
Eric Hayden,5.5
Eric Heisserer,6.5
Eric Hendershot,5.6
Eric Hurt,5.1
Eric Idle,6.0
Eric Karson,4.6
Eric Khoo,7.0
Eric Kissack,8.1
Eric Laneuville,6.4
Eric Lartigau,6.4
Eric Lavaine,5.2
Eric Le Roch,5.2
Eric Leiser,4.1
Eric Luke,5.8
Eric Mandelbaum,4.7
Eric Mendelsohn,5.9
Eric Merola,7.3
Eric Meza,5.0
Eric Nazarian,7.1
Eric Nicholas,6.2
Eric Norris,4.3
Eric Notarnicola,9.5
Eric Petey,
Eric Piccoli,6.5
Eric Red,5.8
Eric Rochant,6.3
Eric Rohmer,7.4
Eric Saperston,7.8
Eric Schaeffer,5.9
Eric Schwab,5.3
Eric Schwartz,6.9
Eric Simonson,8.0
Eric Small,4.5
Eric Stange,7.1
Eric Stanze,4.3
Eric Steel,7.3
Eric Steven Stahl,6.1
Eric Styles,4.9
Eric Sykes,6.8
Eric Till,6.7
Eric Valette,5.8
Eric Walter,5.5
Eric Werthman,5.3
Eric Weston,4.2
Eric Wirix,5.2
Eric Wostenberg,5.1
Eric Zala,8.1
Eric-Emmanuel Schmitt,6.8
Erica Dunton,6.2
Erich H�rtnagl,6.1
Erich Neuberg,8.9
Erich Pommer,7.0
Erich Weiss,8.1
Erich von Stroheim,7.5
